"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"New Jersey"	"34"	"2006"	"2006"	"Male"	"M"	"65-69 years"	"65-69"	38	138991	27.34
	"New Jersey"	"34"	"2006"	"2006"	"Male"	"M"	"70-74 years"	"70-74"	33	111079	29.71
	"New Jersey"	"34"	"2006"	"2006"	"Male"	"M"	"75-79 years"	"75-79"	30	95306	31.48
	"New Jersey"	"34"	"2006"	"2006"	"Male"	"M"	"80-84 years"	"80-84"	23	67275	34.19
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"45-49 years"	"45-49"	24	359638	6.67
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"50-54 years"	"50-54"	27	322976	8.36
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"55-59 years"	"55-59"	22	278426	7.90
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"60-64 years "	"60-64"	21	228222	9.20
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"65-69 years"	"65-69"	29	169801	17.08
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"70-74 years"	"70-74"	32	140680	22.75
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"75-79 years"	"75-79"	29	132637	21.86
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"80-84 years"	"80-84"	28	112337	24.93
	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	"85+ years"	"85+"	21	113373	18.52
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"35-39 years"	"35-39"	17	309986	5.48
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"40-44 years"	"40-44"	20	339350	5.89
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"45-49 years"	"45-49"	27	345538	7.81
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"50-54 years"	"50-54"	34	305374	11.13
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"55-59 years"	"55-59"	34	254864	13.34
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"60-64 years "	"60-64"	37	204229	18.12
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"65-69 years"	"65-69"	30	143722	20.87
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"70-74 years"	"70-74"	31	110606	28.03
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"75-79 years"	"75-79"	26	94052	27.64
	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	"80-84 years"	"80-84"	18	67949	26.49
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"45-49 years"	"45-49"	19	360021	5.28
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"50-54 years"	"50-54"	19	331620	5.73
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"55-59 years"	"55-59"	28	281672	9.94
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"60-64 years "	"60-64"	29	234568	12.36
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"65-69 years"	"65-69"	20	179516	11.14
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"70-74 years"	"70-74"	29	141791	20.45
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"75-79 years"	"75-79"	23	129363	17.78
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"80-84 years"	"80-84"	29	111887	25.92
	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	18	116543	15.44
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"1-4 years"	"1-4"	17	223884	7.59
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"35-39 years"	"35-39"	16	303556	5.27
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"40-44 years"	"40-44"	22	330080	6.67
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"45-49 years"	"45-49"	25	345942	7.23
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"50-54 years"	"50-54"	28	314557	8.90
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"55-59 years"	"55-59"	31	258174	12.01
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"60-64 years "	"60-64"	32	209679	15.26
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"65-69 years"	"65-69"	30	153000	19.61
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"70-74 years"	"70-74"	29	111972	25.90
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"75-79 years"	"75-79"	36	92814	38.79
	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	"80-84 years"	"80-84"	17	68695	24.75
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"45-49 years"	"45-49"	22	361102	6.09
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"50-54 years"	"50-54"	22	340795	6.46
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"55-59 years"	"55-59"	26	287772	9.03
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"60-64 years "	"60-64"	29	244474	11.86
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"65-69 years"	"65-69"	25	185659	13.47
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"70-74 years"	"70-74"	32	143195	22.35
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"75-79 years"	"75-79"	19	126866	14.98
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"80-84 years"	"80-84"	22	110720	19.87
	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	"85+ years"	"85+"	20	120511	16.60
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"35-39 years"	"35-39"	19	296477	6.41
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	16	321560	4.98
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"45-49 years"	"45-49"	16	346353	4.62
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"50-54 years"	"50-54"	25	322289	7.76
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"55-59 years"	"55-59"	35	266203	13.15
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"60-64 years "	"60-64"	43	218585	19.67
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"65-69 years"	"65-69"	42	157656	26.64
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"70-74 years"	"70-74"	29	114310	25.37
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"75-79 years"	"75-79"	27	91064	29.65
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"80-84 years"	"80-84"	22	69018	31.88
	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	"85+ years"	"85+"	16	54622	29.29
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"40-44 years"	"40-44"	18	331319	5.43
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"45-49 years"	"45-49"	16	359506	4.45
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"50-54 years"	"50-54"	24	347711	6.90
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"55-59 years"	"55-59"	27	295851	9.13
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"60-64 years "	"60-64"	35	255478	13.70
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"65-69 years"	"65-69"	32	190941	16.76
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"70-74 years"	"70-74"	22	145320	15.14
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"75-79 years"	"75-79"	29	124835	23.23
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"80-84 years"	"80-84"	19	109683	17.32
	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	"85+ years"	"85+"	18	124164	14.50
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"10-14 years"	"10-14"	16	300443	5.33
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	21	288233	7.29
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"45-49 years"	"45-49"	35	344335	10.16
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"50-54 years"	"50-54"	35	329766	10.61
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"55-59 years"	"55-59"	36	274784	13.10
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"60-64 years "	"60-64"	34	229016	14.85
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"65-69 years"	"65-69"	28	163212	17.16
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"70-74 years"	"70-74"	30	116226	25.81
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"75-79 years"	"75-79"	37	90136	41.05
	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	"80-84 years"	"80-84"	20	69647	28.72
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"50-54 years"	"50-54"	23	352268	6.53
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"55-59 years"	"55-59"	26	305176	8.52
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"60-64 years "	"60-64"	33	265141	12.45
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"65-69 years"	"65-69"	18	197105	9.13
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"70-74 years"	"70-74"	20	148720	13.45
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"75-79 years"	"75-79"	24	123628	19.41
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"80-84 years"	"80-84"	22	109082	20.17
	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	19	126611	15.01
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	16	316181	5.06
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"45-49 years"	"45-49"	22	340437	6.46
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"50-54 years"	"50-54"	27	336413	8.03
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"55-59 years"	"55-59"	39	284679	13.70
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"60-64 years "	"60-64"	40	238885	16.74
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"65-69 years"	"65-69"	36	169733	21.21
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"70-74 years"	"70-74"	30	119221	25.16
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"75-79 years"	"75-79"	31	90360	34.31
	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	17	58655	28.98
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"45-49 years"	"45-49"	16	350166	4.57
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"50-54 years"	"50-54"	17	353688	4.81
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"55-59 years"	"55-59"	22	315515	6.97
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"60-64 years "	"60-64"	21	263010	7.98
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"65-69 years"	"65-69"	28	212733	13.16
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"70-74 years"	"70-74"	20	154929	12.91
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"75-79 years"	"75-79"	29	123282	23.52
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"80-84 years"	"80-84"	18	108073	16.66
	"New Jersey"	"34"	"2012"	"2012"	"Female"	"F"	"85+ years"	"85+"	28	129576	21.61
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	18	284177	6.33
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"40-44 years"	"40-44"	21	313700	6.69
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"45-49 years"	"45-49"	16	334534	4.78
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"50-54 years"	"50-54"	33	340182	9.70
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"55-59 years"	"55-59"	43	295754	14.54
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"60-64 years "	"60-64"	43	238560	18.02
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"65-69 years"	"65-69"	40	184401	21.69
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"70-74 years"	"70-74"	34	124700	27.27
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"75-79 years"	"75-79"	35	91185	38.38
	"New Jersey"	"34"	"2012"	"2012"	"Male"	"M"	"80-84 years"	"80-84"	27	69351	38.93
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"40-44 years"	"40-44"	16	317896	5.03
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"45-49 years"	"45-49"	17	342507	4.96
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"50-54 years"	"50-54"	27	354639	7.61
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"55-59 years"	"55-59"	37	324783	11.39
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"60-64 years "	"60-64"	30	266817	11.24
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"65-69 years"	"65-69"	32	219449	14.58
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"70-74 years"	"70-74"	19	164195	11.57
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"75-79 years"	"75-79"	23	124778	18.43
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"80-84 years"	"80-84"	27	106096	25.45
	"New Jersey"	"34"	"2013"	"2013"	"Female"	"F"	"85+ years"	"85+"	16	131160	12.20
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"35-39 years"	"35-39"	18	282911	6.36
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"45-49 years"	"45-49"	21	328390	6.39
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"50-54 years"	"50-54"	29	342848	8.46
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"55-59 years"	"55-59"	41	305634	13.41
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"60-64 years "	"60-64"	44	243289	18.09
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"65-69 years"	"65-69"	41	191517	21.41
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"70-74 years"	"70-74"	29	133020	21.80
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"75-79 years"	"75-79"	30	92937	32.28
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"80-84 years"	"80-84"	22	68499	32.12
	"New Jersey"	"34"	"2013"	"2013"	"Male"	"M"	"85+ years"	"85+"	20	61963	32.28
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"50-54 years"	"50-54"	24	355414	6.75
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"55-59 years"	"55-59"	27	331715	8.14
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"60-64 years "	"60-64"	23	272831	8.43
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"65-69 years"	"65-69"	39	228346	17.08
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"70-74 years"	"70-74"	34	170171	19.98
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"75-79 years"	"75-79"	22	126954	17.33
	"New Jersey"	"34"	"2014"	"2014"	"Female"	"F"	"80-84 years"	"80-84"	21	104223	20.15
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"5-9 years"	"5-9"	17	283760	5.99
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"45-49 years"	"45-49"	26	322505	8.06
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"50-54 years"	"50-54"	28	343770	8.14
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"55-59 years"	"55-59"	37	314083	11.78
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"60-64 years "	"60-64"	36	250728	14.36
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"65-69 years"	"65-69"	51	199750	25.53
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"70-74 years"	"70-74"	32	138490	23.11
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"75-79 years"	"75-79"	20	95233	21.00
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"80-84 years"	"80-84"	27	67891	39.77
	"New Jersey"	"34"	"2014"	"2014"	"Male"	"M"	"85+ years"	"85+"	20	63231	31.63
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"45-49 years"	"45-49"	19	329902	5.76
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"50-54 years"	"50-54"	36	353353	10.19
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"55-59 years"	"55-59"	31	336915	9.20
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"60-64 years "	"60-64"	34	280620	12.12
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"65-69 years"	"65-69"	26	237283	10.96
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"70-74 years"	"70-74"	24	175237	13.70
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"75-79 years"	"75-79"	23	129039	17.82
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"80-84 years"	"80-84"	22	102738	21.41
	"New Jersey"	"34"	"2015"	"2015"	"Female"	"F"	"85+ years"	"85+"	16	134684	11.88
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"35-39 years"	"35-39"	16	289629	5.52
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"45-49 years"	"45-49"	17	319794	5.32
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"50-54 years"	"50-54"	25	341868	7.31
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"55-59 years"	"55-59"	45	321211	14.01
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"60-64 years "	"60-64"	43	259579	16.57
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"65-69 years"	"65-69"	47	208426	22.55
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"70-74 years"	"70-74"	36	143775	25.04
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"75-79 years"	"75-79"	25	97212	25.72
	"New Jersey"	"34"	"2015"	"2015"	"Male"	"M"	"80-84 years"	"80-84"	17	67440	25.21
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"45-49 years"	"45-49"	17	327273	5.19
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"50-54 years"	"50-54"	25	347656	7.19
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"55-59 years"	"55-59"	25	340251	7.35
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"60-64 years "	"60-64"	34	288342	11.79
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"65-69 years"	"65-69"	25	245712	10.17
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"70-74 years"	"70-74"	25	180265	13.87
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"75-79 years"	"75-79"	26	131669	19.75
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"80-84 years"	"80-84"	23	102093	22.53
	"New Jersey"	"34"	"2016"	"2016"	"Female"	"F"	"85+ years"	"85+"	18	136203	13.22
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"35-39 years"	"35-39"	16	293904	5.44
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"45-49 years"	"45-49"	23	318283	7.23
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"50-54 years"	"50-54"	32	337169	9.49
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"55-59 years"	"55-59"	48	326983	14.68
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"60-64 years "	"60-64"	38	267831	14.19
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"65-69 years"	"65-69"	39	216628	18.00
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"70-74 years"	"70-74"	27	149024	18.12
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"75-79 years"	"75-79"	38	99481	38.20
	"New Jersey"	"34"	"2016"	"2016"	"Male"	"M"	"80-84 years"	"80-84"	26	67951	38.26
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	25	342306	7.30
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	35	340618	10.28
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	40	296810	13.48
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	30	243512	12.32
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	26	193432	13.44
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	28	136755	20.47
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	19	102154	18.60
	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	21	136230	15.42
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"< 1 year"	"1"	0	53169	0.00
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"50-54 years"	"50-54"	23	331105	6.95
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	32	329599	9.71
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	38	277430	13.70
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	37	215637	17.16
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	34	160953	21.12
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	30	103782	28.91
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"80-84 years"	"80-84"	24	68567	35.00
	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	"85+ years"	"85+"	26	65989	39.40
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"5-9 years"	"5-9"	16	268004	5.97
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"50-54 years"	"50-54"	27	334601	8.07
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"55-59 years"	"55-59"	32	340721	9.39
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"60-64 years "	"60-64"	32	304627	10.50
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"65-69 years"	"65-69"	36	246372	14.61
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"70-74 years"	"70-74"	38	199201	19.08
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"75-79 years"	"75-79"	35	144440	24.23
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"80-84 years"	"80-84"	23	103626	22.20
	"New Jersey"	"34"	"2018"	"2018"	"Female"	"F"	"85+ years"	"85+"	21	136126	15.43
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"35-39 years"	"35-39"	24	304000	7.89
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"45-49 years"	"45-49"	19	311645	6.10
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"50-54 years"	"50-54"	25	324431	7.71
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"55-59 years"	"55-59"	47	331125	14.19
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"60-64 years "	"60-64"	43	285588	15.06
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"65-69 years"	"65-69"	40	219508	18.22
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"70-74 years"	"70-74"	27	166704	16.20
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"75-79 years"	"75-79"	37	110641	33.44
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"80-84 years"	"80-84"	18	70270	25.62
	"New Jersey"	"34"	"2018"	"2018"	"Male"	"M"	"85+ years"	"85+"	18	66274	27.16
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	18	326927	5.51
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	28	340929	8.21
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	32	310133	10.32
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	31	251597	12.32
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	34	207047	16.42
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	33	149025	22.14
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	26	105601	24.62
	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	20	135309	14.78
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	0	52623	0.00
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	17	307880	5.52
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	19	306334	6.20
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	31	318866	9.72
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	38	331429	11.47
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	37	292624	12.64
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	57	225688	25.26
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	46	173484	26.52
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	33	114546	28.81
	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	19	66348	28.64
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"55-59 years"	"55-59"	17	338248	5.03
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"60-64 years "	"60-64"	30	313579	9.57
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"65-69 years"	"65-69"	39	258166	15.11
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"70-74 years"	"70-74"	42	214295	19.60
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"75-79 years"	"75-79"	34	152670	22.27
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"80-84 years"	"80-84"	23	106247	21.65
	"New Jersey"	"34"	"2020"	"2020"	"Female"	"F"	"85+ years"	"85+"	18	132268	13.61
	"New Jersey"	"34"	"2020"	"2020"	"Male"	"M"	"< 1 year"	"1"	0	52058	0.00
